id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,school_level,zip_code,year,school_type,state
120009000064,0.108850457782299,0.352538275584206,0.420998980632008,35256.0,20.3724053724054,0.463494667760459,High,32401,2016-2017,Regular School,FL
120009000067,0.0433620433620434,0.521657754010695,0.573690621193666,43151.0,23.1562881562882,0.296099290780142,High,32444,2016-2017,Regular School,FL
120009004305,0.0813953488372093,0.647002551020408,0.396911898274296,48778.0,23.2783882783883,0.35583596214511,High,32407,2016-2017,Regular School,FL
120009007903,0.18,0.67201166180758,0.373123659756969,25392.0,22.7411477411477,0.125230202578269,High,32404,2016-2017,Regular School,FL
120012000070,0.130543933054393,0.473026080743123,0.513910355486862,33636.0,17.979242979243,0.414841849148418,High,32091,2016-2017,Regular School,FL
120015000078,0.20293554562859,0.632786885245902,0.5,29099.0,22.032967032967,0.316187594553706,High,32780,2016-2017,Regular School,FL
120015000088,0.0853722019781364,0.590235081374322,0.354297693920335,41615.0,22.8632478632479,0.334794040315513,High,32796,2016-2017,Regular School,FL
120015000090,0.160958904109589,0.3525,0.11829134720701,20625.0,22.6434676434676,0.268221574344023,High,32955,2016-2017,Regular School,FL
120015000100,0.184439973172368,0.397819314641745,0.316860465116279,30345.0,20.006105006105,0.595744680851064,High,32926,2016-2017,Regular School,FL
120015000103,0.176470588235294,0.63663890991673,0.469387755102041,28940.0,23.0586080586081,0.216807558428642,High,32901,2016-2017,Regular School,FL
120015000104,0.112665406427221,0.686366932559826,0.548663101604278,42364.0,22.5457875457875,0.442728442728443,High,32901,2016-2017,Regular School,FL
120015000109,0.154243542435424,0.541037426132633,0.615643964935941,42823.0,21.5445665445665,0.351961950059453,High,32935,2016-2017,Regular School,FL
120015000118,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,22.3504273504273,0.217478318879253,High,32953,2016-2017,Regular School,FL
120015000119,0.15568570034163,0.677446451070979,0.580099502487562,37185.0,25.8424908424908,0.0765957446808511,High,32953,2016-2017,Regular School,FL
120015000127,0.102790014684288,0.843220338983051,0.535976505139501,64151.0,24.5482295482295,0.196735395189003,High,32931,2016-2017,Regular School,FL
120015000131,0.0253807106598985,0.890625,0.720739219712526,61726.0,23.8156288156288,0.151162790697674,High,32937,2016-2017,Regular School,FL
120015002977,0.10989010989011,0.539008894536213,0.940397350993378,56912.0,23.5225885225885,0.306408544726302,High,32927,2016-2017,Regular School,FL
120015003293,0.0919780011378722,0.536483445837351,0.560511643161692,42979.0,21.5445665445665,0.375537799631223,High,32908,2016-2017,Regular School,FL
120015003296,0.0991080277502478,0.6939586645469,0.786802030456853,39558.0,26.2332112332112,0.0842872008324662,High,32935,2016-2017,Regular School,FL
120015004244,0.113516113516114,0.677391677391677,0.753640776699029,66603.0,22.960927960928,0.0754048582995951,High,32940,2016-2017,Regular School,FL
120015007530,0.224315952503872,0.521924626688789,0.665893271461717,48565.0,19.2979242979243,0.47966573816156,High,32907,2016-2017,Regular School,FL
120018000153,0.123298638911129,0.517125587642713,0.441,35256.0,20.5677655677656,0.57639569049951,High,33020,2016-2017,Regular School,FL
120018000157,0.11660777385159,0.62258876153201,0.405096660808436,42275.0,19.0781440781441,0.723174603174603,High,33312,2016-2017,Regular School,FL
120018000160,0.118674918092465,0.462140063988624,0.639219934994583,51500.0,19.3223443223443,0.584615384615385,High,33024,2016-2017,Regular School,FL
120018000168,0.310185185185185,0.257062146892655,0.157093425605536,15942.0,17.6862026862027,0.759882869692533,High,33060,2016-2017,Regular School,FL
120018000171,0.113344051446945,0.460811756473058,0.420624151967436,25477.0,17.2710622710623,0.744514106583072,High,33009,2016-2017,Regular School,FL
120018000217,0.117365710080942,0.533711405166982,0.846036585365854,31934.0,21.3003663003663,0.569156626506024,High,33305,2016-2017,Regular School,FL
120018000225,0.197635135135135,0.493370551290998,0.560143626570916,45759.0,20.0549450549451,0.4826224328594,High,33065,2016-2017,Regular School,FL
120018000231,0.202110649184522,0.451375559820857,0.425430210325048,43669.0,18.4676434676435,0.640928725701944,High,33334,2016-2017,Regular School,FL
120018000234,0.0850327048864948,0.597447395653674,0.642857142857143,38598.0,21.5201465201465,0.415735567970205,High,33314,2016-2017,Regular School,FL
120018000241,0.0596926713947991,0.625744258576694,0.495787427090084,58329.0,19.0537240537241,0.562214089661482,High,33313,2016-2017,Regular School,FL
120018000247,0.0888888888888889,0.8683304647160071,0.982142857142857,84063.0,18.8339438339438,0.586289549376798,High,33021,2016-2017,Regular School,FL
